number,id,priority,title,author,first_published,latest_published,published,domain,pillar,category,subcategory,topic,slug,difficulty,status,path,type,reading_mode,summary_depth,learning_stage,prerequisites,primary_source
0299,0299,P2,Care to Dare: Unleashing Astonishing Potential Through Secure Base Leadership,George Kohlrieser; Susan Goldsworthy; Duncan Coombe,2012,2012,2012,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Negotiation,High-Stakes Negotiation,Care-to-Dare,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/Care-to-Dare.md,nonfiction,summary,detailed,Foundation,,
0300,0300,P1,Negotiating with the Devil: When to Resolve and When to Fight,Robert Mnookin,2010,2011,2010,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Negotiation,High-Stakes Negotiation,Negotiating-with-the-Devil,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/Negotiating-with-the-Devil.md,nonfiction,summary,detailed,Foundation,,
0301,0301,P0,Influence: The Psychology of Persuasion,Robert B. Cialdini,1984,2021,1984,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Influence,Persuasion,Influence-Cialdini,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/Influence-Cialdini.md,nonfiction,summary,detailed,Foundation,,
0302,0302,P0,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,2016,2018,2016,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Influence,Persuasion,Pre-Suasion,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/Pre-Suasion.md,nonfiction,summary,detailed,Foundation,,
0303,0303,P0,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,2012,2013,2012,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Influence,Persuasion,To-Sell-Is-Human,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/To-Sell-Is-Human.md,nonfiction,summary,detailed,Foundation,,
0304,0304,P1,Yes!: 50 Scientifically Proven Ways to Be Persuasive,Noah J. Goldstein; Steve J. Martin; Robert B. Cialdini,2008,2009,2008,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Influence,Persuasion,Yes-50-Proven-Ways,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/Yes-50-Proven-Ways.md,nonfiction,summary,detailed,Foundation,,
0305,0305,P3,The Soul of Influence: How to Create Deep Connection and Lasting Impact,Ken Druck,2000,2000,2000,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Influence,Persuasion,The-Soul-of-Influence,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/The-Soul-of-Influence.md,nonfiction,summary,detailed,Foundation,,
0306,0306,P0,Invisible Influence: The Hidden Forces that Shape Behavior,Jonah Berger,2016,2017,2016,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Influence,Social Influence,Invisible-Influence,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/Invisible-Influence.md,nonfiction,summary,detailed,Foundation,,
0307,0307,P0,Contagious: Why Things Catch On,Jonah Berger,2013,2016,2013,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Influence,Social Influence,Contagious,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/Contagious.md,nonfiction,summary,detailed,Foundation,,
0308,0308,P0,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000,2021,2000,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Influence,Social Influence,The-Tipping-Point,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/The-Tipping-Point.md,nonfiction,summary,detailed,Foundation,,
0309,0309,P1,The Catalyst: How to Change Anyone's Mind,Jonah Berger,2020,2020,2020,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Influence,Social Influence,The-Catalyst,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/The-Catalyst.md,nonfiction,summary,detailed,Foundation,,
0310,0310,P1,"Influence Is Your Superpower: The Science of Winning Hearts, Sparking Change, and Making Good Things Happen",Zoe Chance,2022,2022,2022,"02-Communication, Writing & Social Intelligence","Communication, Writing & Social Intelligence",04-NEGOTIATION-INFLUENCE,Influence,Social Influence,Influence-Is-Your-Superpower,Intermediate,planned,md/02-Communication-Writing-and-Social-Intelligence/04-NEGOTIATION-INFLUENCE/Influence-Is-Your-Superpower.md,nonfiction,summary,detailed,Foundation,,
0311,0311,P0,Judgment Under Uncertainty: Heuristics and Biases,Daniel Kahneman; Paul Slovic; Amos Tversky,1982,1982,1982,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Judgment,Judgment-Under-Uncertainty,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Judgment-Under-Uncertainty.md,nonfiction,summary,detailed,Foundation,,
0312,0312,P1,"Choices, Values, and Frames",Daniel Kahneman; Amos Tversky,2000,2000,2000,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Judgment,Choices-Values-and-Frames,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Choices-Values-and-Frames.md,nonfiction,summary,detailed,Foundation,,
0313,0313,P0,Simple Heuristics That Make Us Smart,Gerd Gigerenzer; Peter M. Todd,1999,2000,1999,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Judgment,Simple-Heuristics-That-Make-Us-Smart,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Simple-Heuristics-That-Make-Us-Smart.md,nonfiction,summary,detailed,Foundation,,
0314,0314,P1,Gut Feelings: The Intelligence of the Unconscious,Gerd Gigerenzer,2007,2008,2007,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Judgment,Gut-Feelings,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Gut-Feelings.md,nonfiction,summary,detailed,Foundation,,
0315,0315,P1,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2005,2007,2005,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Judgment,Blink-Gladwell,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Blink-Gladwell.md,nonfiction,summary,detailed,Foundation,,
0316,0316,P2,The Psychology of Proof: Deductive Reasoning in Human Thinking,Lance J. Rips,1994,1994,1994,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Reasoning,The-Psychology-of-Proof,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Psychology-of-Proof.md,nonfiction,summary,detailed,Foundation,,
0317,0317,P1,How We Reason,Philip N. Johnson-Laird,2006,2008,2006,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Reasoning,How-We-Reason,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/How-We-Reason.md,nonfiction,summary,detailed,Foundation,,
0318,0318,P1,"Mental Models: Towards a Cognitive Science of Language, Inference, and Consciousness",Philip N. Johnson-Laird,1983,1983,1983,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Reasoning,Mental-Models-Johnson-Laird,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Mental-Models-Johnson-Laird.md,nonfiction,summary,detailed,Foundation,,
0319,0319,P1,The Knowledge Illusion: Why We Never Think Alone,Steven Sloman; Philip Fernbach,2017,2018,2017,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Reasoning,The-Knowledge-Illusion,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Knowledge-Illusion.md,nonfiction,summary,detailed,Foundation,,
0320,0320,P1,"May Contain Lies: How Stories, Statistics, and Studies Exploit Our Biases",Alex Edmans,2024,2024,2024,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Reasoning,May-Contain-Lies,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/May-Contain-Lies.md,nonfiction,summary,detailed,Foundation,,
0321,0321,P0,How to Solve It: A New Aspect of Mathematical Method,George Pólya,1945,2014,1945,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Problem Solving,How-to-Solve-It,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/How-to-Solve-It.md,nonfiction,summary,detailed,Foundation,,
0322,0322,P1,Conceptual Blockbusting: A Guide to Better Ideas,James L. Adams,1974,2019,1974,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Problem Solving,Conceptual-Blockbusting,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Conceptual-Blockbusting.md,nonfiction,summary,detailed,Foundation,,
0323,0323,P2,The Psychology of Problem Solving: Theory and Practice,Janet E. Davidson; Robert J. Sternberg,2003,2003,2003,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Problem Solving,The-Psychology-of-Problem-Solving,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Psychology-of-Problem-Solving.md,nonfiction,summary,detailed,Foundation,,
0324,0324,P1,Subtract: The Untapped Science of Less,Leidy Klotz,2021,2022,2021,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Problem Solving,Subtract-Klotz,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Subtract-Klotz.md,nonfiction,summary,detailed,Foundation,,
0325,0325,P1,Cracked It!: How to Solve Big Problems and Sell Solutions Like Top Strategy Consultants,Bernard Garrette; Corey Phelps; Olivier Sibony,2018,2018,2018,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Thinking,Problem Solving,Cracked-It,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Cracked-It.md,nonfiction,summary,detailed,Foundation,,
0326,0326,P0,The Seven Sins of Memory: How the Mind Forgets and Remembers,Daniel L. Schacter,2001,2021,2001,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Human Memory,The-Seven-Sins-of-Memory,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Seven-Sins-of-Memory.md,nonfiction,summary,detailed,Foundation,,
0327,0327,P1,"Searching for Memory: The Brain, the Mind, and the Past",Daniel L. Schacter,1996,1997,1996,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Human Memory,Searching-for-Memory,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Searching-for-Memory.md,nonfiction,summary,detailed,Foundation,,
0328,0328,P2,Memory: Foundations and Applications,Bennett L. Schwartz,2010,2020,2010,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Human Memory,Memory-Schwartz,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Memory-Schwartz.md,nonfiction,summary,detailed,Foundation,,
0329,0329,P1,"Working Memory, Thought, and Action",Alan Baddeley,2007,2011,2007,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Human Memory,Working-Memory-Baddeley,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Working-Memory-Baddeley.md,nonfiction,summary,detailed,Foundation,,
0330,0330,P3,The Memory Arts: A Practical Guide to Ancient Mnemotechnics,Sarah Craske,2018,2020,2018,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Human Memory,The-Memory-Arts,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Memory-Arts.md,nonfiction,summary,detailed,Foundation,,
0331,0331,P1,Attention and Effort,Daniel Kahneman,1973,1973,1973,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Attention,Attention-and-Effort,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Attention-and-Effort.md,nonfiction,summary,detailed,Foundation,,
0332,0332,P1,Focus: The Hidden Driver of Excellence,Daniel Goleman,2013,2015,2013,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Attention,Focus-Goleman,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Focus-Goleman.md,nonfiction,summary,detailed,Foundation,,
0333,0333,P2,The Attentive Brain,Raja Parasuraman,1998,2000,1998,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Attention,The-Attentive-Brain,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Attentive-Brain.md,nonfiction,summary,detailed,Foundation,,
0334,0334,P2,Attention: Theory and Practice,Addie Johnson; Robert W. Proctor,2004,2004,2004,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Attention,Attention-Johnson-Proctor,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Attention-Johnson-Proctor.md,nonfiction,summary,detailed,Foundation,,
0335,0335,P1,The World Beyond Your Head: On Becoming an Individual in an Age of Distraction,Matthew B. Crawford,2015,2016,2015,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Attention,The-World-Beyond-Your-Head,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-World-Beyond-Your-Head.md,nonfiction,summary,detailed,Foundation,,
0336,0336,P0,Cognitive Load Theory,John Sweller; Paul Ayres; Slava Kalyuga,2011,2011,2011,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Cognitive Load,Cognitive-Load-Theory,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Cognitive-Load-Theory.md,nonfiction,summary,detailed,Foundation,,
0337,0337,P1,Efficiency in Learning: Evidence-Based Guidelines to Manage Cognitive Load,Ruth Colvin Clark; Frank Nguyen; John Sweller,2005,2006,2005,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Cognitive Load,Efficiency-in-Learning,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Efficiency-in-Learning.md,nonfiction,summary,detailed,Foundation,,
0338,0338,P0,The Extended Mind: The Power of Thinking Outside the Brain,Annie Murphy Paul,2021,2022,2021,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Cognitive Load,The-Extended-Mind,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Extended-Mind.md,nonfiction,summary,detailed,Foundation,,
0339,0339,P1,"Supersizing the Mind: Embodiment, Action, and Cognitive Extension",Andy Clark,2008,2010,2008,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Cognitive Load,Supersizing-the-Mind,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Supersizing-the-Mind.md,nonfiction,summary,detailed,Foundation,,
0340,0340,P1,Mind in Motion: How Action Shapes Thought,Barbara Tversky,2019,2020,2019,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Memory & Attention,Cognitive Load,Mind-in-Motion,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Mind-in-Motion.md,nonfiction,summary,detailed,Foundation,,
0341,0341,P0,The Case Against Reality: Why Evolution Hid the Truth from Our Eyes,Donald Hoffman,2019,2020,2019,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Perception,The-Case-Against-Reality,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Case-Against-Reality.md,nonfiction,summary,detailed,Foundation,,
0342,0342,P0,Being You: A New Science of Consciousness,Anil Seth,2021,2022,2021,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Perception,Being-You,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Being-You.md,nonfiction,summary,detailed,Foundation,,
0343,0343,P0,Phantoms in the Brain: Probing the Mysteries of the of the Human Mind,V.S. Ramachandran; Sandra Blakeslee,1998,1999,1998,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Perception,Phantoms-in-the-Brain,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Phantoms-in-the-Brain.md,nonfiction,summary,detailed,Foundation,,
0344,0344,P1,The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human,V.S. Ramachandran,2011,2012,2011,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Perception,The-Tell-Tale-Brain,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Tell-Tale-Brain.md,nonfiction,summary,detailed,Foundation,,
0345,0345,P0,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,1985,2021,1985,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Perception,The-Man-Who-Mistook-His-Wife-for-a-Hat,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Man-Who-Mistook-His-Wife-for-a-Hat.md,nonfiction,summary,detailed,Foundation,,
0346,0346,P0,Consciousness Explained,Daniel C. Dennett,1991,1992,1991,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Consciousness,Consciousness-Explained,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Consciousness-Explained.md,nonfiction,summary,detailed,Foundation,,
0347,0347,P0,The Conscious Mind: In Search of a Fundamental Theory,David J. Chalmers,1996,1997,1996,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Consciousness,The-Conscious-Mind,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Conscious-Mind.md,nonfiction,summary,detailed,Foundation,,
0348,0348,P1,Kinds of Minds: Toward an Understanding of Consciousness,Daniel C. Dennett,1996,1997,1996,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Consciousness,Kinds-of-Minds-Dennett,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Kinds-of-Minds-Dennett.md,nonfiction,summary,detailed,Foundation,,
0349,0349,P0,Consciousness and the Brain: Deciphering How the Brain Codes Our Thoughts,Stanislas Dehaene,2014,2014,2014,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Consciousness,Consciousness-and-the-Brain,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Consciousness-and-the-Brain.md,nonfiction,summary,detailed,Foundation,,
0350,0350,P1,The Feeling of What Happens: Body and Emotion in the Making of Consciousness,Antonio Damasio,1999,2000,1999,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Consciousness,The-Feeling-of-What-Happens,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Feeling-of-What-Happens.md,nonfiction,summary,detailed,Foundation,,
0351,0351,P1,"Surfing Uncertainty: Prediction, Action, and the Embodied Mind",Andy Clark,2015,2016,2015,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Mental Representation,Surfing-Uncertainty,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Surfing-Uncertainty.md,nonfiction,summary,detailed,Foundation,,
0352,0352,P0,The Experience Machine: How Our Minds Predict and Shape Reality,Andy Clark,2023,2023,2023,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Mental Representation,The-Experience-Machine,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/The-Experience-Machine.md,nonfiction,summary,detailed,Foundation,,
0353,0353,P1,Surfaces and Essences: Analogy as the Fuel and Fire of Thinking,Douglas Hofstadter; Emmanuel Sander,2013,2013,2013,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Mental Representation,Surfaces-and-Essences,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Surfaces-and-Essences.md,nonfiction,summary,detailed,Foundation,,
0354,0354,P0,Metaphors We Live By,George Lakoff; Mark Johnson,1980,2003,1980,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Mental Representation,Metaphors-We-Live-By,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Metaphors-We-Live-By.md,nonfiction,summary,detailed,Foundation,,
0355,0355,P1,"Women, Fire, and Dangerous Things: What Categories Reveal About the Mind",George Lakoff,1987,1990,1987,03-Psychology & Human Behavior,Psychology & Human Behavior,01-COGNITIVE-PSYCHOLOGY,Perception & Consciousness,Mental Representation,Women-Fire-and-Dangerous-Things,Intermediate,planned,md/03-Psychology-and-Human-Behavior/01-COGNITIVE-PSYCHOLOGY/Women-Fire-and-Dangerous-Things.md,nonfiction,summary,detailed,Foundation,,
0356,0356,P0,The Wisdom of Crowds,James Surowiecki,2004,2005,2004,03-Psychology & Human Behavior,Psychology & Human Behavior,02-SOCIAL-PSYCHOLOGY,Groups,Group Behavior,The-Wisdom-of-Crowds,Intermediate,planned,md/03-Psychology-and-Human-Behavior/02-SOCIAL-PSYCHOLOGY/The-Wisdom-of-Crowds.md,nonfiction,summary,detailed,Foundation,,
0357,0357,P0,Groupthink: Psychological Studies of Policy Decisions and Fiascoes,Irving L. Janis,1972,1982,1972,03-Psychology & Human Behavior,Psychology & Human Behavior,02-SOCIAL-PSYCHOLOGY,Groups,Group Behavior,Groupthink-Janis,Intermediate,planned,md/03-Psychology-and-Human-Behavior/02-SOCIAL-PSYCHOLOGY/Groupthink-Janis.md,nonfiction,summary,detailed,Foundation,,
0358,0358,P0,The Lucifer Effect: Understanding How Good People Turn Evil,Philip Zimbardo,2007,2008,2007,03-Psychology & Human Behavior,Psychology & Human Behavior,02-SOCIAL-PSYCHOLOGY,Groups,Group Behavior,The-Lucifer-Effect,Intermediate,planned,md/03-Psychology-and-Human-Behavior/02-SOCIAL-PSYCHOLOGY/The-Lucifer-Effect.md,nonfiction,summary,detailed,Foundation,,
0359,0359,P1,Extraordinary Popular Delusions and the Madness of Crowds,Charles Mackay,1841,2012,1841,03-Psychology & Human Behavior,Psychology & Human Behavior,02-SOCIAL-PSYCHOLOGY,Groups,Group Behavior,Extraordinary-Popular-Delusions,Intermediate,planned,md/03-Psychology-and-Human-Behavior/02-SOCIAL-PSYCHOLOGY/Extraordinary-Popular-Delusions.md,nonfiction,summary,detailed,Foundation,,
0360,0360,P1,The Crowd: A Study of the Popular Mind,Gustave Le Bon,1895,2002,1895,03-Psychology & Human Behavior,Psychology & Human Behavior,02-SOCIAL-PSYCHOLOGY,Groups,Group Behavior,The-Crowd-Le-Bon,Intermediate,planned,md/03-Psychology-and-Human-Behavior/02-SOCIAL-PSYCHOLOGY/The-Crowd-Le-Bon.md,nonfiction,summary,detailed,Foundation,,
0361,0361,P0,The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,2012,2013,2012,03-Psychology & Human Behavior,Psychology & Human Behavior,02-SOCIAL-PSYCHOLOGY,Groups,Social Identity,The-Righteous-Mind,Intermediate,planned,md/03-Psychology-and-Human-Behavior/02-SOCIAL-PSYCHOLOGY/The-Righteous-Mind.md,nonfiction,summary,detailed,Foundation,,
0362,0362,P1,Us and Them: Understanding Your Tribal Mind,David Berreby,2005,2008,2005,03-Psychology & Human Behavior,Psychology & Human Behavior,02-SOCIAL-PSYCHOLOGY,Groups,Social Identity,Us-and-Them,Intermediate,planned,md/03-Psychology-and-Human-Behavior/02-SOCIAL-PSYCHOLOGY/Us-and-Them.md,nonfiction,summary,detailed,Foundation,,
0363,0363,P1,Whistling Vivaldi: How Stereotypes Affect Us and What We Can Do,Claude M. Steele,2010,2011,2010,03-Psychology & Human Behavior,Psychology & Human Behavior,02-SOCIAL-PSYCHOLOGY,Groups,Social Identity,Whistling-Vivaldi,Intermediate,planned,md/03-Psychology-and-Human-Behavior/02-SOCIAL-PSYCHOLOGY/Whistling-Vivaldi.md,nonfiction,summary,detailed,Foundation,,
0364,0364,P1,"The Social Animal: The Hidden Sources of Love, Character, and Achievement",David Brooks,2011,2012,2011,03-Psychology & Human Behavior,Psychology & Human Behavior,02-SOCIAL-PSYCHOLOGY,Groups,Social Identity,The-Social-Animal-Brooks,Intermediate,planned,md/03-Psychology-and-Human-Behavior/02-SOCIAL-PSYCHOLOGY/The-Social-Animal-Brooks.md,nonfiction,summary,detailed,Foundation,,
